l.a1ɪ1.t.ɪ0.n.ʌ0.n, l.a1ɪ1.ɾ.ɪ0.n.ʌ0.n
k.o1ʊ1.t.ʌ0, k.o1ʊ1.ɾ.ʌ0
d.ɪ2.f.ɚ0.ɛ1.n.ʃ.i0.e2ɪ2.t.ɪ0.d, d.ɪ2.f.ɚ0.ɛ1.n.ʃ.i0.e2ɪ2.ɾ.ɪ0.d
d.ɪ0.k.t.e1ɪ1.t.ɚ0.ʃ.ɪ2.p, d.ɪ0.k.t.e1ɪ1.ɾ.ɚ0.ʃ.ɪ2.p
ʃ.ʌ1.t.ɚ0, ʃ.ʌ1.ɾ.ɚ0
ʌ0.k.i1.t.ʌ0.z, ʌ0.k.i1.ɾ.ʌ0.z
f.ɛ1.t.ɪ0.ʃ.ɪ0.s.t, f.ɛ1.ɾ.ɪ0.ʃ.ɪ0.s.t
k.æ1.s.t.ʌ0.g.e2ɪ2.t.ɪ0.ŋ, k.æ1.s.t.ʌ0.g.e2ɪ2.ɾ.ɪ0.ŋ
n.ɪ0.g.e1ɪ1.t.ɪ0.ŋ, n.ɪ0.g.e1ɪ1.ɾ.ɪ0.ŋ
p.ɛ0.d.ɹ.ɛ1.t.i0, p.ɛ0.d.ɹ.ɛ1.ɾ.i0
b.ɛ1.t.ʌ0.n.k.ɔ0.ɹ.t, b.ɛ1.ɾ.ʌ0.n.k.ɔ0.ɹ.t
m.ɛ1.t.ɪ0.s, m.ɛ1.ɾ.ɪ0.s
p.ɹ.o1ʊ1.t.ɛ2.s.t.ʌ0.d, p.ɹ.o1ʊ1.ɾ.ɛ2.s.t.ʌ0.d
ɹ.u0.s.tʃ.i1.t.i0, ɹ.u0.s.tʃ.i1.ɾ.i0
b.ɚ1.t.ɪ0.l.s.ʌ0.n, b.ɚ1.ɾ.ɪ0.l.s.ʌ0.n
v.ɔ1ɪ1.t.ɪ0.k, v.ɔ1ɪ1.ɾ.ɪ0.k
æ1.n.t.i2.t.ɚ0, æ1.n.t.i2.ɾ.ɚ0
ɹ.i1.t.ɔ2.ɹ.t, ɹ.i1.ɾ.ɔ2.ɹ.t
m.æ1.t.ɪ0.n.e2ɪ2, m.æ1.ɾ.ɪ0.n.e2ɪ2
v.a0ɪ0.e1ɪ1.t.ɚ0, v.a0ɪ0.e1ɪ1.ɾ.ɚ0
d.ɪ0.l.ɪ1.b.ɚ0.e2ɪ2.t.ɪ0.ŋ, d.ɪ0.l.ɪ1.b.ɚ0.e2ɪ2.ɾ.ɪ0.ŋ
h.a1ɪ1.t.a2ʊ2.ɚ0.z, h.a1ɪ1.ɾ.a2ʊ2.ɚ0.z
n.u0.n.z.i0.ɑ1.t.ʌ0, n.u0.n.z.i0.ɑ1.ɾ.ʌ0
o2ʊ2.v.ɚ0.n.a1ɪ1.t.ɚ0.z, o2ʊ2.v.ɚ0.n.a1ɪ1.ɾ.ɚ0.z
d.ɪ0.v.i1.t.ʌ0, d.ɪ0.v.i1.ɾ.ʌ0
k.o0ʊ0.l.ɑ0.v.i1.t.o0ʊ0, k.o0ʊ0.l.ɑ0.v.i1.ɾ.o0ʊ0
ɪ0.n.u1.m.ɚ0.e2ɪ2.t.ɪ0.d, ɪ0.n.u1.m.ɚ0.e2ɪ2.ɾ.ɪ0.d
p.ɛ0.t.i0.n.ɑ1.t.o0ʊ0, p.ɛ0.t.i0.n.ɑ1.ɾ.o0ʊ0
æ0.s.f.ɪ1.k.s.i0.e2ɪ2.t.ɪ0.d, æ0.s.f.ɪ1.k.s.i0.e2ɪ2.ɾ.ɪ0.d
ɔ1.t.ɪ2.z.ʌ0.m, ɔ1.ɾ.ɪ2.z.ʌ0.m
m.o1ʊ1.t.ɚ0.ɪ0.ŋ, m.o1ʊ1.ɾ.ɚ0.ɪ0.ŋ
v.ɑ0.n.ɑ1.t.ʌ0, v.ɑ0.n.ɑ1.ɾ.ʌ0
ɪ2.n.ʌ0.d.v.ɚ1.t.ʌ0.n.t.l.i0, ɪ2.n.ʌ0.d.v.ɚ1.ɾ.ʌ0.n.t.l.i0
k.w.ɑ1.p.ɚ0.e2ɪ2.t.ʌ0.d, k.w.ɑ1.p.ɚ0.e2ɪ2.ɾ.ʌ0.d
d.ɪ0.l.i1.t.ɪ0.ŋ, d.ɪ0.l.i1.ɾ.ɪ0.ŋ
l.ɪ2.p.ʌ0.p.ɹ.o1ʊ1.t.i0.n, l.ɪ2.p.ʌ0.p.ɹ.o1ʊ1.ɾ.i0.n
ʌ0.d.ʌ1.l.t.ɚ0.e2ɪ2.t.ɪ0.d, ʌ0.d.ʌ1.l.t.ɚ0.e2ɪ2.ɾ.ɪ0.d
ɔ1.t.ʌ0.m.e2ɪ2.t, ɔ1.ɾ.ʌ0.m.e2ɪ2.t
ɹ.ɛ1.n.ʌ0.v.e2ɪ2.t.ɚ0, ɹ.ɛ1.n.ʌ0.v.e2ɪ2.ɾ.ɚ0
p.æ1.t.ɪ0.s.ʌ0.n, p.æ1.ɾ.ɪ0.s.ʌ0.n
w.ɔ1.t.ɚ0.w.ɚ2.k.s, w.ɔ1.ɾ.ɚ0.w.ɚ2.k.s
ɛ2.k.s.k.ʌ0.m.j.u1.n.ʌ0.k.e2ɪ2.t.ʌ0.d, ɛ2.k.s.k.ʌ0.m.j.u1.n.ʌ0.k.e2ɪ2.ɾ.ʌ0.d
f.ɚ2.t.ʌ0.l.ɪ0.z.e1ɪ1.ʃ.ʌ0.n, f.ɚ2.ɾ.ʌ0.l.ɪ0.z.e1ɪ1.ʃ.ʌ0.n
m.i1.t.ɚ0, m.i1.ɾ.ɚ0
k.ɚ0.ɑ1.t.i0, k.ɚ0.ɑ1.ɾ.i0
w.ɪ1.t.ʌ0.n.b.ɚ0.g, w.ɪ1.ɾ.ʌ0.n.b.ɚ0.g
m.ɪ2.n.ʌ0.s.o1ʊ1.t.ʌ0.n, m.ɪ2.n.ʌ0.s.o1ʊ1.ɾ.ʌ0.n
b.æ1.t.ɚ0.ɚ0, b.æ1.ɾ.ɚ0.ɚ0
s.l.ɛ1.t.ʌ0.n, s.l.ɛ1.ɾ.ʌ0.n
s.ʌ1.b.dʒ.ʌ0.g.e2ɪ2.t.ɪ0.d, s.ʌ1.b.dʒ.ʌ0.g.e2ɪ2.ɾ.ɪ0.d
v.i1.t.o2ʊ2.d, v.i1.ɾ.o2ʊ2.d
t.a1ɪ1.t.ʌ0.n.d, t.a1ɪ1.ɾ.ʌ0.n.d
l.ɪ1.t.ɚ0.z, l.ɪ1.ɾ.ɚ0.z
dʒ.ɑ0.k.ɛ1.t.ʌ0, dʒ.ɑ0.k.ɛ1.ɾ.ʌ0
s.k.ɪ1.t.ʌ0.l.z, s.k.ɪ1.ɾ.ʌ0.l.z
h.i2.l.i0.o0ʊ0.n.ɛ1.t.ɪ0.k.s, h.i2.l.i0.o0ʊ0.n.ɛ1.ɾ.ɪ0.k.s
m.æ1.t.ʌ0.d.ɔ2.ɹ, m.æ1.ɾ.ʌ0.d.ɔ2.ɹ
s.ɛ2.ɹ.ʌ0.s.o1ʊ1.t.ʌ0, s.ɛ2.ɹ.ʌ0.s.o1ʊ1.ɾ.ʌ0
w.ɔ1.t.ɚ0.f.a2ʊ2.l, w.ɔ1.ɾ.ɚ0.f.a2ʊ2.l
ɪ2.n.æ0.d.v.ɚ1.t.ʌ0.n.t, ɪ2.n.æ0.d.v.ɚ1.ɾ.ʌ0.n.t
ɔ1.p.ɚ0.e2ɪ2.t.ɪ0.ŋ, ɔ1.p.ɚ0.e2ɪ2.ɾ.ɪ0.ŋ
p.ɛ1.t.ʌ0.k, p.ɛ1.ɾ.ʌ0.k
ɪ2.n.t.ɚ0.m.ɪ1.t.ʌ0.n.t, ɪ2.n.t.ɚ0.m.ɪ1.ɾ.ʌ0.n.t
b.ɔ1ɪ1.k.ɑ2.t.ɪ0.d, b.ɔ1ɪ1.k.ɑ2.ɾ.ɪ0.d
m.ɛ1.t.ʌ0.l.w.ɚ2.k.ɪ0.ŋ, m.ɛ1.ɾ.ʌ0.l.w.ɚ2.k.ɪ0.ŋ
b.ɑ0.ɹ.l.ɛ1.t.ʌ0, b.ɑ0.ɹ.l.ɛ1.ɾ.ʌ0
p.ɛ1.t.ʌ0.l, p.ɛ1.ɾ.ʌ0.l
m.ʌ0.z.a1ɪ1.t.ɪ0.s, m.ʌ0.z.a1ɪ1.ɾ.ɪ0.s
t.ɹ.i1.t.ɔ2.p, t.ɹ.i1.ɾ.ɔ2.p
l.ɪ1.t.ɪ0.g.e2ɪ2.t.ɪ0.d, l.ɪ1.ɾ.ɪ0.g.e2ɪ2.ɾ.ɪ0.d
s.t.ɹ.æ1.t.ʌ0.dʒ.a0ɪ0.z.ɪ0.ŋ, s.t.ɹ.æ1.ɾ.ʌ0.dʒ.a0ɪ0.z.ɪ0.ŋ
ɹ.a1ɪ1.t.ɪ0.s.t.s, ɹ.a1ɪ1.ɾ.ɪ0.s.t.s
p.æ0.l.m.ɪ1.t.ɪ0.k, p.æ0.l.m.ɪ1.ɾ.ɪ0.k
i1.t.o0ʊ0, i1.ɾ.o0ʊ0
d.ɛ2.m.ʌ0.k.ɹ.æ1.t.ɪ0.k.s, d.ɛ2.m.ʌ0.k.ɹ.æ1.ɾ.ɪ0.k.s
s.p.ɑ1.t.i0, s.p.ɑ1.ɾ.i0
k.ʌ1.t.a2ʊ2.t.s, k.ʌ1.ɾ.a2ʊ2.t.s
f.ɚ1.t.ʌ0.k, f.ɚ1.ɾ.ʌ0.k
dʒ.ʌ0.n.ɛ1.t.ɪ0.k.l.i0, dʒ.ʌ0.n.ɛ1.ɾ.ɪ0.k.l.i0
m.o1ʊ1.t.ɪ0.v, m.o1ʊ1.ɾ.ɪ0.v
b.ɛ1.t.ɪ0.s, b.ɛ1.ɾ.ɪ0.s
ɪ2.n.f.ɚ1.t.ʌ0.l, ɪ2.n.f.ɚ1.ɾ.ʌ0.l
p.ɚ0.ɛ0.n.θ.ɛ1.t.ɪ0.k.ʌ0.l.i0, p.ɚ0.ɛ0.n.θ.ɛ1.ɾ.ɪ0.k.ʌ0.l.i0
k.ɑ1.n.f.ʌ0.s.k.e2ɪ2.t.ɪ0.ŋ, k.ɑ1.n.f.ʌ0.s.k.e2ɪ2.ɾ.ɪ0.ŋ
d.ɑ1.t.ɪ0.ŋ, d.ɑ1.ɾ.ɪ0.ŋ
ɪ2.ŋ.k.ɑ1.t.ʌ2.z, ɪ2.ŋ.k.ɑ1.ɾ.ʌ2.z
d.o0ʊ0.n.ɑ1.t.i0, d.o0ʊ0.n.ɑ1.ɾ.i0
dʒ.o0ʊ0.l.ɛ1.t.ʌ0, dʒ.o0ʊ0.l.ɛ1.ɾ.ʌ0
h.ɪ1.t.a2ɪ2.t, h.ɪ1.ɾ.a2ɪ2.t
m.j.u1.t.ʌ0.dʒ.ɛ0.n.z, m.j.u1.ɾ.ʌ0.dʒ.ɛ0.n.z
p.ɚ1.s.ʌ0.k.j.u2.t.ɚ0.z, p.ɚ1.s.ʌ0.k.j.u2.ɾ.ɚ0.z
f.ʌ0.s.ɪ1.l.ʌ0.t.e2ɪ2.t.ɚ0.z, f.ʌ0.s.ɪ1.l.ʌ0.t.e2ɪ2.ɾ.ɚ0.z
k.ʌ0.n.s.ɚ1.t.ʌ0.d, k.ʌ0.n.s.ɚ1.ɾ.ʌ0.d
g.l.ɑ1.t.ʌ0.l, g.l.ɑ1.ɾ.ʌ0.l
ʃ.l.e1ɪ1.t.ɚ0, ʃ.l.e1ɪ1.ɾ.ɚ0
j.e1ɪ1.t.ɚ0, j.e1ɪ1.ɾ.ɚ0
k.æ1.t.ʌ0.l.ɔ0.g, k.æ1.ɾ.ʌ0.l.ɔ0.g
k.æ1.t.ʌ0.k.l.ɪ2.s.ʌ0.m, k.æ1.ɾ.ʌ0.k.l.ɪ2.s.ʌ0.m
ɹ.i0.k.ɑ1.n.s.t.ʌ0.t.u2.t.ɪ0.d, ɹ.i0.k.ɑ1.n.s.t.ʌ0.t.u2.ɾ.ɪ0.d
k.ɑ1.m.ʌ0.n.t.e2ɪ2.t.ɚ0.z, k.ɑ1.m.ʌ0.n.t.e2ɪ2.ɾ.ɚ0.z
k.i0.m.o1ʊ1.t.o0ʊ0, k.i0.m.o1ʊ1.ɾ.o0ʊ0
s.ɛ1.l.ʌ0.b.ɹ.e2ɪ2.t.ɪ0.d, s.ɛ1.l.ʌ0.b.ɹ.e2ɪ2.ɾ.ɪ0.d
h.u0.ɛ1.t.ʌ0, h.u0.ɛ1.ɾ.ʌ0
ɪ1.n.t.ʌ0.g.ɹ.e2ɪ2.t.ɪ0.ŋ, ɪ1.n.t.ʌ0.g.ɹ.e2ɪ2.ɾ.ɪ0.ŋ
d.i0.s.ɚ1.t.ʌ0.f.a2ɪ2, d.i0.s.ɚ1.ɾ.ʌ0.f.a2ɪ2
i1.t.ɑ0.p.s, i1.ɾ.ɑ0.p.s
g.ɹ.æ2.t.ʌ0.f.ʌ0.k.e1ɪ1.ʃ.ʌ0.n, g.ɹ.æ2.ɾ.ʌ0.f.ʌ0.k.e1ɪ1.ʃ.ʌ0.n
p.æ1.t.ʌ0.n.t.l.i0, p.æ1.ɾ.ʌ0.n.t.l.i0
f.ɪ1.ʃ.i2.t.ɚ0, f.ɪ1.ʃ.i2.ɾ.ɚ0
ɪ2.n.v.æ1.l.ɪ0.d.e2ɪ2.t.ɪ0.d, ɪ2.n.v.æ1.l.ɪ0.d.e2ɪ2.ɾ.ɪ0.d
p.ɹ.i1.t.ɛ2.k.s.t, p.ɹ.i1.ɾ.ɛ2.k.s.t
p.ɹ.æ1.t.ʌ0.l, p.ɹ.æ1.ɾ.ʌ0.l
ʃ.i0.b.ɑ1.t.ʌ0, ʃ.i0.b.ɑ1.ɾ.ʌ0
æ2.n.t.i0.b.a0ɪ0.ɑ1.t.ɪ0.k.s, æ2.n.t.i0.b.a0ɪ0.ɑ1.ɾ.ɪ0.k.s
m.ɪ0.k.ʌ0.l.ɛ1.t.i0, m.ɪ0.k.ʌ0.l.ɛ1.ɾ.i0
ɪ0.ɹ.æ1.t.ɪ0.k, ɪ0.ɹ.æ1.ɾ.ɪ0.k
g.ɹ.æ1.v.ɪ0.t.e2ɪ2.t.ɪ0.ŋ, g.ɹ.æ1.v.ɪ0.t.e2ɪ2.ɾ.ɪ0.ŋ
ɹ.ɪ0.p.j.u1.t.ɪ0.d, ɹ.ɪ0.p.j.u1.ɾ.ɪ0.d
f.u0.k.u0.m.o1ʊ1.t.o0ʊ0, f.u0.k.u0.m.o1ʊ1.ɾ.o0ʊ0
p.l.u1.t.o0ʊ0, p.l.u1.ɾ.o0ʊ0
k.a1ʊ1.t.o0ʊ0, k.a1ʊ1.ɾ.o0ʊ0
ʌ2.n.ɹ.i0.m.ɪ1.t.ɪ0.ŋ, ʌ2.n.ɹ.i0.m.ɪ1.ɾ.ɪ0.ŋ
m.ɛ2.θ.æ0.m.f.ɛ1.t.ʌ0.m.a0ɪ0.n, m.ɛ2.θ.æ0.m.f.ɛ1.ɾ.ʌ0.m.a0ɪ0.n
ʌ0.p.ɹ.i1.ʃ.i0.e2ɪ2.t.ɪ0.d, ʌ0.p.ɹ.i1.ʃ.i0.e2ɪ2.ɾ.ɪ0.d
n.æ0.v.ɹ.æ2.t.ɪ0.l.o1ʊ1.v.ʌ0, n.æ0.v.ɹ.æ2.ɾ.ɪ0.l.o1ʊ1.v.ʌ0
æ1.n.ʌ0.m.e2ɪ2.t.ɚ0, æ1.n.ʌ0.m.e2ɪ2.ɾ.ɚ0
k.l.e1ɪ1.t.ʌ0.n.z, k.l.e1ɪ1.ɾ.ʌ0.n.z
ɹ.i0.f.ɪ1.t.ɪ0.d, ɹ.i0.f.ɪ1.ɾ.ɪ0.d
p.ɹ.ɪ0.d.ɑ1.m.ʌ0.n.e2ɪ2.t.ɪ0.ŋ, p.ɹ.ɪ0.d.ɑ1.m.ʌ0.n.e2ɪ2.ɾ.ɪ0.ŋ
k.ɑ2.m.b.æ1.t.ɪ2.v, k.ɑ2.m.b.æ1.ɾ.ɪ2.v
s.ɪ2.m.p.ʌ0.θ.ɛ1.t.ɪ0.k, s.ɪ2.m.p.ʌ0.θ.ɛ1.ɾ.ɪ0.k
h.w.a1ɪ1.t.ɪ0.n.ɪ0.ŋ, h.w.a1ɪ1.ɾ.ɪ0.n.ɪ0.ŋ
s.ɑ0.k.ɑ0.m.o1ʊ1.t.o0ʊ0, s.ɑ0.k.ɑ0.m.o1ʊ1.ɾ.o0ʊ0
æ1.t.ʌ0.m.z, æ1.ɾ.ʌ0.m.z
ʌ0.θ.ɔ2.ɹ.ʌ0.t.e1ɪ1.t.ɪ0.v.l.i0, ʌ0.θ.ɔ2.ɹ.ʌ0.t.e1ɪ1.ɾ.ɪ0.v.l.i0
p.æ1.t.i0, p.æ1.ɾ.i0
æ1.t.ɑ0.w.e2ɪ2, æ1.ɾ.ɑ0.w.e2ɪ2
w.ɔ1ɪ1.t.ʌ0.s, w.ɔ1ɪ1.ɾ.ʌ0.s
ɪ0.g.z.æ1.dʒ.ɚ0.e2ɪ2.t.ɪ0.ŋ, ɪ0.g.z.æ1.dʒ.ɚ0.e2ɪ2.ɾ.ɪ0.ŋ
ɹ.o1ʊ1.t.ɚ0.z, ɹ.o1ʊ1.ɾ.ɚ0.z
v.ɑ0.n.æ1.t.ɚ0, v.ɑ0.n.æ1.ɾ.ɚ0
w.ɑ1.t.ʌ0.n.b.ɚ0.g, w.ɑ1.ɾ.ʌ0.n.b.ɚ0.g
d.ɪ0.p.l.i1.t.ɪ0.ŋ, d.ɪ0.p.l.i1.ɾ.ɪ0.ŋ
p.ɛ0.t.ɹ.a1ɪ1.t.ɪ0.s, p.ɛ0.t.ɹ.a1ɪ1.ɾ.ɪ0.s
f.o1ʊ1.t.o0ʊ0.k.ɑ2.p.i0.ɚ0, f.o1ʊ1.ɾ.o0ʊ0.k.ɑ2.p.i0.ɚ0
g.i1.t.ɪ0.z, g.i1.ɾ.ɪ0.z
o1ʊ1.t.ɪ0.ŋ, o1ʊ1.ɾ.ɪ0.ŋ
s.w.ɛ1.t.ɚ0, s.w.ɛ1.ɾ.ɚ0
k.ɹ.a1ɪ1.t.ɚ0, k.ɹ.a1ɪ1.ɾ.ɚ0
ɹ.a1ɪ1.t.ʌ0.n.a0ʊ0.ɹ.z, ɹ.a1ɪ1.ɾ.ʌ0.n.a0ʊ0.ɹ.z
f.ʊ2.t.ʌ0.n.d.m.a1ʊ1.θ, f.ʊ2.ɾ.ʌ0.n.d.m.a1ʊ1.θ
f.o1ʊ1.t.o0ʊ0.k.ɑ2.p.i0.ɪ0.ŋ, f.o1ʊ1.ɾ.o0ʊ0.k.ɑ2.p.i0.ɪ0.ŋ
d.ɪ0.s.k.ɹ.ɪ1.m.ʌ0.n.e2ɪ2.t.ɪ0.d, d.ɪ0.s.k.ɹ.ɪ1.m.ʌ0.n.e2ɪ2.ɾ.ɪ0.d
m.i1.t.i2, m.i1.ɾ.i2
g.ɛ1.t.ʌ0.l, g.ɛ1.ɾ.ʌ0.l
t.ɪ0.b.ɛ1.t.ʌ0.n, t.ɪ0.b.ɛ1.ɾ.ʌ0.n
p.ɹ.o1ʊ1.t.ʌ0.k.ɑ2.l, p.ɹ.o1ʊ1.ɾ.ʌ0.k.ɑ2.l
e1ɪ1.t.i1.p.i1, e1ɪ1.ɾ.i1.p.i1
f.o1ʊ1.t.o2ʊ2.ʃ.ɑ2.p, f.o1ʊ1.ɾ.o2ʊ2.ʃ.ɑ2.p
ɹ.u0.m.æ1.t.ɪ0.k, ɹ.u0.m.æ1.ɾ.ɪ0.k
ɑ0.n.t.o0ʊ0.n.ɛ1.t.i0, ɑ0.n.t.o0ʊ0.n.ɛ1.ɾ.i0
v.ɚ1.t.ʌ0.b.ɹ.e2ɪ2.t.s, v.ɚ1.ɾ.ʌ0.b.ɹ.e2ɪ2.t.s
t.i1.t.ɚ0.ɪ0.ŋ, t.i1.ɾ.ɚ0.ɪ0.ŋ
n.ɑ0.k.ɑ0.m.o1ʊ1.t.o0ʊ0, n.ɑ0.k.ɑ0.m.o1ʊ1.ɾ.o0ʊ0
s.ɛ1.t.ʌ0.l.ɪ0.ŋ, s.ɛ1.ɾ.ʌ0.l.ɪ0.ŋ
ɪ0.p.ɪ1.t.ʌ0.m.i0, ɪ0.p.ɪ1.ɾ.ʌ0.m.i0
v.ɛ1.n.t.ɪ0.l.e2ɪ2.t.ɚ0, v.ɛ1.n.t.ɪ0.l.e2ɪ2.ɾ.ɚ0
m.o0ʊ0.s.k.ɛ1.t.i0, m.o0ʊ0.s.k.ɛ1.ɾ.i0
k.o2ʊ2.i1.t.o2ʊ2, k.o2ʊ2.i1.ɾ.o2ʊ2
g.l.ɪ1.t.ɚ0, g.l.ɪ1.ɾ.ɚ0
d.ɛ1.t.ɚ0.z, d.ɛ1.ɾ.ɚ0.z
p.ɑ0.ɹ.t.ɪ1.s.ʌ0.p.e2ɪ2.t.ʌ0.d, p.ɑ0.ɹ.t.ɪ1.s.ʌ0.p.e2ɪ2.ɾ.ʌ0.d
f.u1.t.ɑ0.n.z, f.u1.ɾ.ɑ0.n.z
ɪ0.p.ɪ1.t.ʌ0.m.a2ɪ2.z, ɪ0.p.ɪ1.ɾ.ʌ0.m.a2ɪ2.z
ɛ1.k.s.k.ʌ0.v.e2ɪ2.t.ɪ0.d, ɛ1.k.s.k.ʌ0.v.e2ɪ2.ɾ.ɪ0.d
p.ɔ2.ɹ.f.ɚ0.ɪ1.t.ɪ0.k, p.ɔ2.ɹ.f.ɚ0.ɪ1.ɾ.ɪ0.k
ɹ.i0.s.ɛ1.t.ʌ0.l, ɹ.i0.s.ɛ1.ɾ.ʌ0.l
h.ɛ1.d.w.ɔ2.t.ɚ0.z, h.ɛ1.d.w.ɔ2.ɾ.ɚ0.z
d.æ1.t.ʌ0.m, d.æ1.ɾ.ʌ0.m
p.æ2.t.ʌ0.g.o1ʊ1.n.i0.ʌ0, p.æ2.ɾ.ʌ0.g.o1ʊ1.n.i0.ʌ0
s.p.o0ʊ0.l.e1ɪ1.t.o0ʊ0.z, s.p.o0ʊ0.l.e1ɪ1.ɾ.o0ʊ0.z
æ2.n.ʌ0.t.e1ɪ1.t.ɚ0.z, æ2.n.ʌ0.t.e1ɪ1.ɾ.ɚ0.z
s.ɛ1.n.s.d.e2ɪ2.t.ʌ0, s.ɛ1.n.s.d.e2ɪ2.ɾ.ʌ0
m.ɛ1.t.ʌ0.l.w.ɚ2.k, m.ɛ1.ɾ.ʌ0.l.w.ɚ2.k
